,0
0,497970.89262460405
1,511244.2288684985
2,481488.7023878938
3,549076.7078168038
4,584919.4753213818
5,561657.3253805346
6,555198.4833922194
7,537433.0037934602
8,519680.7336818369
9,449785.87195663154
10,434466.6323252574
11,433932.23505921377
12,578717.7065610152
13,529421.7777253271
14,490470.2121701674
15,456671.3683417855
16,434479.14370295434
17,386462.6105247186
18,422359.6162003153
19,346351.6838666357
20,403732.4290032055
21,384342.61548800697
22,499329.2291862339
23,478818.0841252698
24,526435.490556875
25,507387.8819537952
26,387008.8664631941
27,485079.2017404973
28,384427.26118986454
29,351605.9422704005
30,332739.9520355963
31,459029.9695348782
32,383461.66978291824
33,382264.1142172918
34,364677.20107851055
35,396209.22077966225
36,389146.4894689556
37,372563.7840480176
38,387335.06828644645
39,376420.35361142695
40,414446.682510908
41,471364.1590367716
42,387374.6785756387
43,497071.0566631601
44,500151.90592682007
45,458843.13239623373
46,497337.9380615468
47,520383.2914322792
48,636970.3834877644
49,473328.72003482346
50,456073.6778725023
51,448094.79848718963
52,522366.42584806436
53,529099.0600648103
54,527391.7148370708
55,529271.028242753
56,556580.0409474709
57,535214.7808988311
58,537199.6538706225
59,525249.6096956745
60,520609.7548720137
61,442418.6535253531
62,425330.90128939773
63,464619.1673555592
64,507588.67769370973
65,386266.5190756219
66,377804.99850993336
67,479610.58821661025
68,486266.14460807916
69,535458.1069162599
70,446621.69606974977
71,423472.4132033663
72,397944.91798732424
73,430704.85278694343
74,470952.50949896494
75,477830.2206506635
76,522807.0296878828
77,450911.5979025286
78,400863.79324503033
79,499458.42096248345
80,450965.57661858277
81,405505.67806705745
82,403105.0850688918
83,367938.92527763644
84,354600.99267534155
85,333799.8761936119
86,340561.422683514
87,389557.6696869278
88,376695.30778235465
89,369945.223969743
90,369165.75975482026
91,449620.11608742067
92,468179.0465715377
93,397107.2476688871
94,397412.04018792335
95,455750.93904529314
96,539533.4387895197
97,519556.39615751477
98,533099.0975885653
99,520599.88022435684
100,623819.7310271944
101,554179.2982662277
102,541401.3817926374
103,508007.87660188373
104,587312.3218816831
105,543374.977689307
106,527956.1089739429
107,547932.962489199
108,625246.175513374
109,607173.8699316831
110,596700.2918529044
111,572968.5390346876
112,524354.0284616734
113,451808.44407164294
114,445106.9776189682
115,517417.36965502077
116,550836.4128092466
117,469945.9927921537
118,393098.62542709534
119,389362.33906812855
120,413682.43529677024
121,428973.2049614414
122,442610.09817006194
123,412332.6851011435
124,395220.3593094226
125,403690.7147122257
126,495974.94367067347
127,484102.5804410331
128,528437.5481115485
129,548575.4700172567
130,470920.10622827394
131,420560.96852431237
132,512549.43287121644
133,440626.44175182516
134,398559.75828777463
135,378890.92923390033
136,420256.3038618528
137,406526.34857416764
138,339645.60775903787
139,392967.1010224343
140,379346.26676306146
141,376181.88753657026
142,467640.6349530338
143,475230.4951635298
144,389548.49550312123
145,383069.6326857395
146,455599.558952114
147,447487.31123814837
148,480600.5360276166
149,497700.11702040426
150,488339.2077257079
151,622449.658846004
152,568431.3597275682
153,512303.8924253542
154,567754.2108722124
155,599992.7570100515
156,538726.0638739539
