CATEGORY,BRAND,EAN,YEAR_WEEK,DISTRIBUTION_CODE,SALES_SO,VOLUME_SO,SALES_SO_PROMO,VOLUME_SO_PROMO,sales_non_promo,volume_non_promo,,
joy,ideal_mouse,,201827,hyper_top,148210.4,9442.9,57087.7,3729.3,,,,
joy,ideal_mouse,,201828,hyper_top,166492.3,10590.2,47178.8,3093.6,,,,
joy,ideal_mouse,,201829,hyper_top,189924.4,12151.5,71418.4,4736.3,,,,
joy,ideal_mouse,,201830,hyper_top,198720.5,12681.8,71579.3,4599.7,,,,
joy,ideal_mouse,,201831,hyper_top,236007.2,15286.5,109040.8,7150.9,,,,
joy,ideal_mouse,,201832,hyper_top,216517.9,14011.5,95952.5,6314.1,,,,
joy,ideal_mouse,,201833,hyper_top,189302.8,12156.8,50331.7,3261.8,,,,
joy,ideal_mouse,,201834,hyper_top,166450.3,10566.3,40982.5,2593.5,,,,
joy,ideal_mouse,,201835,hyper_top,138374.8,8816.3,30085.5,1944.1,,,,
joy,ideal_mouse,,201836,hyper_top,117542.6,7487.3,11606.9,778.6,,,,
joy,ideal_mouse,,201837,hyper_top,112047.9,7223.3,21759.5,1481.5,,,,
joy,ideal_mouse,,201838,hyper_top,98569.4,6378.8,20282.8,1381.8,,,,
joy,ideal_mouse,,201839,hyper_top,92662,5950.5,9262.3,620.9,,,,
joy,ideal_mouse,,201840,hyper_top,91416.1,5780.6,9815.6,654.8,,,,
joy,ideal_mouse,,201841,hyper_top,79999.2,5042.5,4380.6,289,,,,
joy,ideal_mouse,,201842,hyper_top,81648.3,5144.9,4449.7,278.9,,,,
joy,ideal_mouse,,201843,hyper_top,111486.2,7704.9,33480.3,2778.5,,,,
joy,ideal_mouse,,201844,hyper_top,123345.1,8073.8,48058.5,3321.1,,,,
joy,ideal_mouse,,201845,hyper_top,87268.1,5559.8,14872.7,977.9,,,,
joy,ideal_mouse,,201846,hyper_top,69973.6,4404,5414.3,364.9,,,,
joy,ideal_mouse,,201847,hyper_top,71335.2,4494.8,4191.9,279.1,,,,
joy,ideal_mouse,,201848,hyper_top,76300.2,4802.3,5685,372,,,,
