FISCAL_YEAR,YEAR_MONTH,BRAND,BRAND_QUALITY_SIZE,SALES_CHANNEL,VOLUME_IN_L,NET_SALES,COGS
2019,-1,heavy_feather,,on_off_trade,1191321,20937000,5611121.91
2019,-1,moistured_bird,,on_off_trade,2898341,22314000,4695312.42
2019,-1,visitor,,on_off_trade,10449807,61030000,18914150.67
2019,-1,red_ballon,,on_off_trade,288335,1958000,475752.75
2019,-1,gracious_road,,on_off_trade,1298509,27475000,3609855.02
2019,-1,viable_line,,on_off_trade,10453470,54223000,17875433.7
2019,-1,,,on_off_trade,2659227,62557000,37920577.02
2019,-1,gold_plane,,on_off_trade,3544677,25948000,8010970.02
2019,-1,silver_coin,,on_off_trade,1665374,18180000,3530592.88
2019,-1,ideal_mouse,,on_off_trade,561743,4678000,1033607.12
2019,-1,lully,,on_off_trade,6336736,23006000,6780307.52
2019,-1,fast_duck,,on_off_trade,30558483,143443000,29336143.68
2019,-1,angry_cat,,on_off_trade,3661320,17692000,5711659.2
2020,-1,heavy_feather,,on_off_trade,1227125,22178000,5742945
2020,-1,moistured_bird,,on_off_trade,3124653,23140000,4936951.74
2020,-1,visitor,,on_off_trade,10895012,64258000,19937871.96
2020,-1,red_ballon,,on_off_trade,306411,1990000,508642.26
2020,-1,gracious_road,,on_off_trade,1185199,24089000,3437077.1
2020,-1,viable_line,,on_off_trade,10276642,52691000,17778590.66
2020,-1,,,on_off_trade,2214320,52609000,32528360.8
2020,-1,gold_plane,,on_off_trade,3282472,24394000,7287087.84
2020,-1,silver_coin,,on_off_trade,1679043,17644000,3358086
2020,-1,ideal_mouse,,on_off_trade,499294,3833000,1003580.94
2020,-1,lully,,on_off_trade,6249496,22201000,7124425.44
2020,-1,fast_duck,,on_off_trade,29599822,138143000,30487816.66
2020,-1,angry_cat,,on_off_trade,3601668,17225000,6086818.92
2021,-1,heavy_feather,,on_off_trade,1444196,25979000,6701069.44
2021,-1,heavy_feather,,off_trade,1308000,22481000,5859840
2021,-1,heavy_feather,,on_trade,136000,3674000,822800
2021,-1,moistured_bird,,on_off_trade,3504612,27004000,5817655.92
2021,-1,moistured_bird,,off_trade,2889000,22039000,4449060
2021,-1,moistured_bird,,on_trade,615000,4638000,977850
2021,-1,visitor,,on_off_trade,11178740,66794000,19674582.4
2021,-1,visitor,,off_trade,10640000,63683000,18620000
2021,-1,visitor,,on_trade,539000,3274000,937860
2021,-1,red_ballon,,on_off_trade,266335,1971000,426136
2021,-1,red_ballon,,off_trade,171000,1269000,266760
2021,-1,red_ballon,,on_trade,95000,650000,158650
2021,-1,gracious_road,,on_off_trade,1298298,26983000,3778047.18
2021,-1,gracious_road,,off_trade,1187000,24204000,3418560
2021,-1,gracious_road,,on_trade,111000,2443000,345210
