,TARGET_VOL_SO
0,54743.2
12,53872.5
24,57470.5
36,61853.0
48,59208.0
60,67569.0
72,57565.0
84,54176.3
96,70441.5
108,61789.0
120,67491.0
132,61214.0
144,52248.0
156,51832.1
168,52608.9
180,90337.9
192,59699.6
204,106824.0
216,88640.0
228,54370.0
240,60556.4
252,68454.5
264,86405.7
276,73969.8
288,88379.5
300,56877.0
312,55836.1
324,71604.4
336,72408.7
348,57193.5
360,51681.4
372,46821.9
384,44180.0
396,46491.3
408,53273.3
420,48122.3
432,63580.2
444,58518.9
456,59195.1
468,51323.3
480,52162.6
492,60582.6
504,59323.8
516,61859.6
528,60637.2
540,53124.1
552,52496.2
564,53865.2
576,55231.6
588,81500.5
600,59493.8
612,47016.6
624,49906.2
636,50617.9
648,52172.4
660,49555.8
672,60778.2
684,57745.0
696,55348.7
708,53347.7
720,65615.0
732,57150.6
744,56859.1
756,52702.6
768,86000.3
780,50660.9
792,49989.3
804,84307.1
816,77444.6
828,72216.7
840,64831.9
852,54976.4
864,58507.2
876,65533.3
888,86292.8
900,86304.1
912,81943.7
924,61742.8
936,60015.2
948,52410.2
960,52768.7
972,53488.0
984,53403.7
996,52048.0
1008,51301.1
1020,55256.9
1032,54615.1
1044,67775.6
1056,58148.1
1068,44479.2
1080,42913.6
1092,48659.9
1104,57387.0
1116,50691.2
1128,53386.7
1140,51783.8
1152,59453.8
1164,77685.1
1176,70187.6
1188,63936.6
1200,67791.7
1212,60062.3
1224,62503.3
1236,55287.9
1248,56812.7
1260,68036.9
1272,58594.6
1284,55606.6
1296,68460.8
1308,63134.5
1320,54826.5
1332,77531.3
1344,77474.0
1356,59620.9
1368,51364.8
1380,49092.8
1392,48559.4
1404,52266.8
1416,57285.7
1428,90909.6
1440,67846.7
1452,77824.7
1464,55317.7
1476,52249.7
1488,61085.5
1500,55559.9
1512,94270.0
1524,74492.0
1536,83092.5
1548,69729.5
1560,58358.6
1572,51576.1
1584,53109.8
1596,55327.3
1608,55170.8
1620,50194.1
1632,50354.0
1644,57173.3
1656,53849.1
1668,60744.4
1680,57243.7
1692,53066.0
1704,68857.3
1716,67561.8
1728,48933.6
1740,53628.1
1752,53307.8
1764,51125.0
1776,72680.2
1788,67434.5
1800,59953.0
1812,53833.9
1824,53074.2
1836,63038.9
1848,57579.0
1860,54346.5
1872,53172.4
