YEAR_WEEK,is_last_week,IS_JANUARY,IS_FEBRUARY,IS_MARCH,IS_APRIL,IS_MAY,IS_JUNE,IS_JULY,IS_AUGUST,IS_SEPTEMBER,IS_OCTOBER,IS_NOVEMBER,IS_DECEMBER
201827,0,0,0,0,0,0,0,1,0,0,0,0,0
201828,0,0,0,0,0,0,0,1,0,0,0,0,0
201829,0,0,0,0,0,0,0,1,0,0,0,0,0
201830,0,0,0,0,0,0,0,1,0,0,0,0,0
201831,0,0,0,0,0,0,0,0,1,0,0,0,0
201832,0,0,0,0,0,0,0,0,1,0,0,0,0
201833,0,0,0,0,0,0,0,0,1,0,0,0,0
201834,0,0,0,0,0,0,0,0,1,0,0,0,0
201835,0,0,0,0,0,0,0,0,1,0,0,0,0
201836,0,0,0,0,0,0,0,0,0,1,0,0,0
201837,0,0,0,0,0,0,0,0,0,1,0,0,0
201838,0,0,0,0,0,0,0,0,0,1,0,0,0
201839,0,0,0,0,0,0,0,0,0,1,0,0,0
201840,0,0,0,0,0,0,0,0,0,0,1,0,0
201841,0,0,0,0,0,0,0,0,0,0,1,0,0
201842,0,0,0,0,0,0,0,0,0,0,1,0,0
201843,0,0,0,0,0,0,0,0,0,0,1,0,0
201844,0,0,0,0,0,0,0,0,0,0,1,0,0
201845,0,0,0,0,0,0,0,0,0,0,0,1,0
201846,0,0,0,0,0,0,0,0,0,0,0,1,0
201847,0,0,0,0,0,0,0,0,0,0,0,1,0
201848,0,0,0,0,0,0,0,0,0,0,0,1,0
201849,0,0,0,0,0,0,0,0,0,0,0,0,1
201850,0,0,0,0,0,0,0,0,0,0,0,0,1
201851,0,0,0,0,0,0,0,0,0,0,0,0,1
201852,1,0,0,0,0,0,0,0,0,0,0,0,1
201901,0,1,0,0,0,0,0,0,0,0,0,0,0
201902,0,1,0,0,0,0,0,0,0,0,0,0,0
201903,0,1,0,0,0,0,0,0,0,0,0,0,0
201904,0,1,0,0,0,0,0,0,0,0,0,0,0
201905,0,1,0,0,0,0,0,0,0,0,0,0,0
201906,0,0,1,0,0,0,0,0,0,0,0,0,0
201907,0,0,1,0,0,0,0,0,0,0,0,0,0
201908,0,0,1,0,0,0,0,0,0,0,0,0,0
201909,0,0,1,0,0,0,0,0,0,0,0,0,0
201910,0,0,0,1,0,0,0,0,0,0,0,0,0
201911,0,0,0,1,0,0,0,0,0,0,0,0,0
201912,0,0,0,1,0,0,0,0,0,0,0,0,0
201913,0,0,0,1,0,0,0,0,0,0,0,0,0
201914,0,0,0,0,1,0,0,0,0,0,0,0,0
201915,0,0,0,0,1,0,0,0,0,0,0,0,0
201916,0,0,0,0,1,0,0,0,0,0,0,0,0
201917,0,0,0,0,1,0,0,0,0,0,0,0,0
201918,0,0,0,0,0,1,0,0,0,0,0,0,0
201919,0,0,0,0,0,1,0,0,0,0,0,0,0
201920,0,0,0,0,0,1,0,0,0,0,0,0,0
201921,0,0,0,0,0,1,0,0,0,0,0,0,0
201922,0,0,0,0,0,1,0,0,0,0,0,0,0
201923,0,0,0,0,0,0,1,0,0,0,0,0,0
201924,0,0,0,0,0,0,1,0,0,0,0,0,0
201925,0,0,0,0,0,0,1,0,0,0,0,0,0
201926,0,0,0,0,0,0,1,0,0,0,0,0,0
201927,0,0,0,0,0,0,0,1,0,0,0,0,0
201928,0,0,0,0,0,0,0,1,0,0,0,0,0
201929,0,0,0,0,0,0,0,1,0,0,0,0,0
201930,0,0,0,0,0,0,0,1,0,0,0,0,0
201931,0,0,0,0,0,0,0,1,0,0,0,0,0
201932,0,0,0,0,0,0,0,0,1,0,0,0,0
201933,0,0,0,0,0,0,0,0,1,0,0,0,0
