,YEAR_WEEK,is_last_week,january,february,march,april,may,june,july,august,september,october,november,december
0,201827,0,0,0,0,0,0,0,1,0,0,0,0,0
1,201828,0,0,0,0,0,0,0,1,0,0,0,0,0
2,201829,0,0,0,0,0,0,0,1,0,0,0,0,0
3,201830,0,0,0,0,0,0,0,1,0,0,0,0,0
4,201831,0,0,0,0,0,0,0,0,1,0,0,0,0
5,201832,0,0,0,0,0,0,0,0,1,0,0,0,0
6,201833,0,0,0,0,0,0,0,0,1,0,0,0,0
7,201834,0,0,0,0,0,0,0,0,1,0,0,0,0
8,201835,0,0,0,0,0,0,0,0,1,0,0,0,0
9,201836,0,0,0,0,0,0,0,0,0,1,0,0,0
10,201837,0,0,0,0,0,0,0,0,0,1,0,0,0
11,201838,0,0,0,0,0,0,0,0,0,1,0,0,0
12,201839,0,0,0,0,0,0,0,0,0,1,0,0,0
13,201840,0,0,0,0,0,0,0,0,0,0,1,0,0
14,201841,0,0,0,0,0,0,0,0,0,0,1,0,0
15,201842,0,0,0,0,0,0,0,0,0,0,1,0,0
16,201843,0,0,0,0,0,0,0,0,0,0,1,0,0
17,201844,0,0,0,0,0,0,0,0,0,0,1,0,0
18,201845,0,0,0,0,0,0,0,0,0,0,0,1,0
19,201846,0,0,0,0,0,0,0,0,0,0,0,1,0
20,201847,0,0,0,0,0,0,0,0,0,0,0,1,0
21,201848,0,0,0,0,0,0,0,0,0,0,0,1,0
22,201849,0,0,0,0,0,0,0,0,0,0,0,0,1
23,201850,0,0,0,0,0,0,0,0,0,0,0,0,1
24,201851,0,0,0,0,0,0,0,0,0,0,0,0,1
25,201852,1,0,0,0,0,0,0,0,0,0,0,0,1
26,201901,0,1,0,0,0,0,0,0,0,0,0,0,0
27,201902,0,1,0,0,0,0,0,0,0,0,0,0,0
28,201903,0,1,0,0,0,0,0,0,0,0,0,0,0
29,201904,0,1,0,0,0,0,0,0,0,0,0,0,0
30,201905,0,1,0,0,0,0,0,0,0,0,0,0,0
31,201906,0,0,1,0,0,0,0,0,0,0,0,0,0
32,201907,0,0,1,0,0,0,0,0,0,0,0,0,0
33,201908,0,0,1,0,0,0,0,0,0,0,0,0,0
