CATEGORY,BRAND,SUB_BRAND,BRAND_QUALITY_ID,EAN,YEAR_WEEK,DISTRIBUTION_CODE,DISTRIBUTION,DISTRIBUTION_PROMO,DISTRIBUTION_DISPLAY,DISTRIBUTION_FEATURE_DISPLAY,DISTRIBUTION_FEATURE
joy,ideal_mouse,,,,201827,hyper_top,72,0,5,0,3
joy,ideal_mouse,,,,201828,hyper_top,74,0,6,0,2
joy,ideal_mouse,,,,201829,hyper_top,74,2,7,0,4
joy,ideal_mouse,,,,201830,hyper_top,75,2,5,0,6
joy,ideal_mouse,,,,201831,hyper_top,76,0,5,0,15
joy,ideal_mouse,,,,201832,hyper_top,76,0,5,0,13
joy,ideal_mouse,,,,201833,hyper_top,76,0,9,0,0
joy,ideal_mouse,,,,201834,hyper_top,75,0,6,0,0
joy,ideal_mouse,,,,201835,hyper_top,73,0,3,0,3
joy,ideal_mouse,,,,201836,hyper_top,72,0,3,0,2
joy,ideal_mouse,,,,201837,hyper_top,70,0,4,0,3
joy,ideal_mouse,,,,201838,hyper_top,69,0,4,0,2
joy,ideal_mouse,,,,201839,hyper_top,70,0,2,0,0
joy,ideal_mouse,,,,201840,hyper_top,68,0,5,0,0
joy,ideal_mouse,,,,201841,hyper_top,66,0,3,0,0
joy,ideal_mouse,,,,201842,hyper_top,65,0,3,0,0
joy,ideal_mouse,,,,201843,hyper_top,66,0,4,0,0
joy,ideal_mouse,,,,201844,hyper_top,69,2,3,0,2
joy,ideal_mouse,,,,201845,hyper_top,66,2,1,0,2
joy,ideal_mouse,,,,201846,hyper_top,64,0,4,0,0
joy,ideal_mouse,,,,201847,hyper_top,65,0,5,0,0
joy,ideal_mouse,,,,201848,hyper_top,67,0,5,0,0
joy,ideal_mouse,,,,201849,hyper_top,68,0,6,0,0
joy,ideal_mouse,,,,201850,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,201851,hyper_top,74,0,4,0,0
joy,ideal_mouse,,,,201852,hyper_top,73,0,5,0,0
joy,ideal_mouse,,,,201901,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,201902,hyper_top,66,0,1,0,0
joy,ideal_mouse,,,,201903,hyper_top,64,0,1,0,0
joy,ideal_mouse,,,,201904,hyper_top,63,0,1,0,0
joy,ideal_mouse,,,,201905,hyper_top,61,0,1,0,0
joy,ideal_mouse,,,,201906,hyper_top,61,0,1,0,0
joy,ideal_mouse,,,,201907,hyper_top,61,0,2,0,0
joy,ideal_mouse,,,,201908,hyper_top,62,0,1,0,0
joy,ideal_mouse,,,,201909,hyper_top,63,0,1,0,0
joy,ideal_mouse,,,,201910,hyper_top,64,0,1,0,0
joy,ideal_mouse,,,,201911,hyper_top,63,0,1,0,0
joy,ideal_mouse,,,,201912,hyper_top,62,0,1,0,2
joy,ideal_mouse,,,,201913,hyper_top,63,0,1,0,11
joy,ideal_mouse,,,,201914,hyper_top,64,0,2,0,0
joy,ideal_mouse,,,,201915,hyper_top,64,0,1,0,0
joy,ideal_mouse,,,,201916,hyper_top,66,0,2,0,0
joy,ideal_mouse,,,,201917,hyper_top,66,0,1,0,0
joy,ideal_mouse,,,,201918,hyper_top,66,0,2,0,0
joy,ideal_mouse,,,,201919,hyper_top,67,0,3,0,1
joy,ideal_mouse,,,,201920,hyper_top,66,0,5,0,1
joy,ideal_mouse,,,,201921,hyper_top,66,0,4,0,8
joy,ideal_mouse,,,,201922,hyper_top,68,0,4,0,2
joy,ideal_mouse,,,,201923,hyper_top,69,0,4,0,0
joy,ideal_mouse,,,,201924,hyper_top,72,0,5,0,0
joy,ideal_mouse,,,,201925,hyper_top,71,0,2,0,0
joy,ideal_mouse,,,,201926,hyper_top,72,0,3,0,2
joy,ideal_mouse,,,,201927,hyper_top,72,0,2,0,2
joy,ideal_mouse,,,,201928,hyper_top,73,1,3,0,2
joy,ideal_mouse,,,,201929,hyper_top,74,1,4,0,2
joy,ideal_mouse,,,,201930,hyper_top,74,0,6,0,0
joy,ideal_mouse,,,,201931,hyper_top,75,0,4,0,9
joy,ideal_mouse,,,,201932,hyper_top,75,0,3,0,9
joy,ideal_mouse,,,,201933,hyper_top,76,0,4,0,1
joy,ideal_mouse,,,,201934,hyper_top,75,0,4,0,7
joy,ideal_mouse,,,,201935,hyper_top,74,0,2,0,6
joy,ideal_mouse,,,,201936,hyper_top,74,0,3,0,0
joy,ideal_mouse,,,,201937,hyper_top,72,0,2,0,2
joy,ideal_mouse,,,,201938,hyper_top,71,0,2,0,2
joy,ideal_mouse,,,,201939,hyper_top,71,0,1,0,0
joy,ideal_mouse,,,,201940,hyper_top,70,0,1,0,6
joy,ideal_mouse,,,,201941,hyper_top,68,0,1,0,0
joy,ideal_mouse,,,,201942,hyper_top,67,0,1,0,0
joy,ideal_mouse,,,,201943,hyper_top,67,0,2,0,0
joy,ideal_mouse,,,,201944,hyper_top,71,0,1,0,2
joy,ideal_mouse,,,,201945,hyper_top,69,0,1,0,3
joy,ideal_mouse,,,,201946,hyper_top,69,0,2,0,1
joy,ideal_mouse,,,,201947,hyper_top,71,3,3,0,3
joy,ideal_mouse,,,,201948,hyper_top,70,3,3,0,3
joy,ideal_mouse,,,,201949,hyper_top,71,0,5,0,0
joy,ideal_mouse,,,,201950,hyper_top,71,0,3,0,0
joy,ideal_mouse,,,,201951,hyper_top,75,0,1,0,1
joy,ideal_mouse,,,,201952,hyper_top,76,11,4,0,12
joy,ideal_mouse,,,,202001,hyper_top,74,0,2,0,0
joy,ideal_mouse,,,,202002,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,202003,hyper_top,68,0,1,0,0
joy,ideal_mouse,,,,202004,hyper_top,66,0,2,0,0
joy,ideal_mouse,,,,202005,hyper_top,64,0,3,0,0
joy,ideal_mouse,,,,202006,hyper_top,65,0,2,0,0
joy,ideal_mouse,,,,202007,hyper_top,66,0,4,0,0
joy,ideal_mouse,,,,202008,hyper_top,67,0,3,0,0
joy,ideal_mouse,,,,202009,hyper_top,67,0,2,0,0
joy,ideal_mouse,,,,202010,hyper_top,67,0,1,0,0
joy,ideal_mouse,,,,202011,hyper_top,67,0,1,0,0
joy,ideal_mouse,,,,202012,hyper_top,62,0,0,0,0
joy,ideal_mouse,,,,202013,hyper_top,61,0,1,0,0
joy,ideal_mouse,,,,202014,hyper_top,61,0,1.5,0,0
joy,ideal_mouse,,,,202015,hyper_top,63,0,1,0,0
joy,ideal_mouse,,,,202016,hyper_top,64,0,1,0,6
joy,ideal_mouse,,,,202017,hyper_top,66,0,1,0,6
joy,ideal_mouse,,,,202018,hyper_top,66,0,2.5,0,1
joy,ideal_mouse,,,,202019,hyper_top,67,0,3.5,0,1
joy,ideal_mouse,,,,202020,hyper_top,70,0,3.5,0,0
joy,ideal_mouse,,,,202021,hyper_top,71,0,1,0,2
