,YEAR_WEEK,BRAND,alex,jack,laura,lisa,marc,mary,tom,is_last_week,IS_JANUARY,IS_FEBRUARY,IS_MARCH,IS_APRIL,IS_MAY,IS_JUNE,IS_JULY,IS_AUGUST,IS_SEPTEMBER,IS_OCTOBER,IS_NOVEMBER,IS_DECEMBER,TARGET_VOL_SO,PROMOTION_FEATURE
0,201827,fast_duck,0.0,15401.39,0.0,0.0,21157.5,0.0,11613.51,0,0,0,0,0,0,0,1,0,0,0,0,0,541808.2,0.07961196809922638
1,201828,fast_duck,0.0,0.93,0.0,0.0,0.0,0.0,2607.04,0,0,0,0,0,0,0,1,0,0,0,0,0,585175.3,0.08030640173194661
2,201829,fast_duck,0.0,0.07,4140.0,0.0,308955.07,0.0,2516.66,0,0,0,0,0,0,0,1,0,0,0,0,0,531095.3,0.07819056494838197
3,201830,fast_duck,0.0,0.01,9579.9,0.0,0.0,0.0,6478.36,0,0,0,0,0,0,0,1,0,0,0,0,0,607487.8,0.08315898861993204
4,201831,fast_duck,0.0,0.0,9594.68,0.0,21157.5,0.0,4974.999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,669757.8,0.08462693570192921
5,201832,fast_duck,0.0,0.0,4692.74,0.0,285106.11,0.0,7535.1,0,0,0,0,0,0,0,0,1,0,0,0,0,616891.8,0.08065492622921314
6,201833,fast_duck,0.0,0.0,6577.23,0.0,46227.38,0.0,7706.580000004,0,0,0,0,0,0,0,0,1,0,0,0,0,604947.2,0.08225367234743126
7,201834,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,4529.56,0,0,0,0,0,0,0,0,1,0,0,0,0,528930.1,0.082239255248281
8,201835,fast_duck,0.0,0.01,0.0,0.0,0.0,0.0,9135.46,0,0,0,0,0,0,0,0,1,0,0,0,0,491535.3,0.0823047859547954
9,201836,fast_duck,0.0,0.01,0.0,0.0,0.0,0.0,8504.45999996,0,0,0,0,0,0,0,0,0,1,0,0,0,464977.8,0.08044839738163063
10,201837,fast_duck,0.0,0.0,0.0,0.0,0.0,7901.19,4990.14,0,0,0,0,0,0,0,0,0,1,0,0,0,455497.1,0.08074913931138057
11,201838,fast_duck,0.0,0.0,0.0,0.0,0.0,5223.64,6820.6,0,0,0,0,0,0,0,0,0,1,0,0,0,434407.8,0.08165345210877968
12,201839,fast_duck,0.0,0.0,0.0,0.0,0.0,11877.36,8077.0,0,0,0,0,0,0,0,0,0,1,0,0,0,627647.6,0.09542033375201656
13,201840,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,2546.74,0,0,0,0,0,0,0,0,0,0,1,0,0,607339.1,0.09456486489083374
14,201841,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,3905.42,0,0,0,0,0,0,0,0,0,0,1,0,0,488102.4,0.08910228751596652
15,201842,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,4705.74,0,0,0,0,0,0,0,0,0,0,1,0,0,474471.5,0.09316310488286514
16,201843,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,833.13,0,0,0,0,0,0,0,0,0,0,1,0,0,477612.2,0.09305616169151255
17,201844,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,274.22,0,0,0,0,0,0,0,0,0,0,1,0,0,440799.6,0.08316673580761944
18,201845,fast_duck,0.0,0.0,800.0,0.0,0.0,0.0,2819.17,0,0,0,0,0,0,0,0,0,0,0,1,0,458695.3,0.08924970573607392
19,201846,fast_duck,0.0,0.0,2199.99,0.0,0.0,0.0,4570.1,0,0,0,0,0,0,0,0,0,0,0,1,0,374875.8,0.08354449493651825
20,201847,fast_duck,0.0,0.0,6599.06,0.0,0.0,0.0,6610.190000001,0,0,0,0,0,0,0,0,0,0,0,1,0,484891.1,0.08780485168974675
21,201848,fast_duck,0.0,0.0,2986.04,0.0,0.0,0.0,4295.92,0,0,0,0,0,0,0,0,0,0,0,1,0,418276.2,0.08760659051295389
22,201849,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,2204.08,0,0,0,0,0,0,0,0,0,0,0,0,1,537613.4,0.09592839461442167
23,201850,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,2968.39,0,0,0,0,0,0,0,0,0,0,0,0,1,491896.9,0.09233666380636069
24,201851,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,3425.37,0,0,0,0,0,0,0,0,0,0,0,0,1,642394.7,0.09420085585157936
25,201852,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,1858.95,1,0,0,0,0,0,0,0,0,0,0,0,1,515924.6,0.09154883149775568
