,YEAR_WEEK,BRAND,alex,jack,laura,lisa,marc,mary,tom,is_last_week,IS_JANUARY,IS_FEBRUARY,IS_MARCH,IS_APRIL,IS_MAY,IS_JUNE,IS_JULY,IS_AUGUST,IS_SEPTEMBER,IS_OCTOBER,IS_NOVEMBER,IS_DECEMBER,TARGET_VOL_SO,PROMOTION_FEATURE
0,201827,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.642737885907195,0.06055419965761856
12,201828,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6351678800177469,0.05825854009142611
24,201829,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6660852649267881,0.06208450645204868
36,201830,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7024965980295474,0.07233394254682256
48,201831,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6806800267717069,0.066694366053254
60,201832,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7480781123167205,0.0677339890240221
72,201833,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6668845533077646,0.060316320349150174
84,201834,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.637815680128242,0.05911217037344717
96,201835,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7702232624969437,0.06931629575791287
108,201836,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7019742915524525,0.06917952206228445
120,201837,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.747469889238426,0.10496077946370673
132,201838,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6972694180167713,0.07815757322547767
144,201839,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6208891650040992,0.06189493401520687
156,201840,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6172005499901547,0.061811025324936056
168,201841,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6240789963229902,0.06747937535531588
180,201842,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9114646886637416,0.09056260733161314
192,201843,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6847710322624988,0.09358132252909063
204,201844,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.015052419641788,0.09515463480823534
216,201845,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9001604107733795,0.10660712499074422
228,201846,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,1.363826144481074,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6395002396573316,0.07500057140821553
240,201847,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,3.182261003789057,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6918614044673733,0.06721636006052284
252,201848,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,3.182261003789057,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7549571891726387,0.07468572486644129
264,201849,angry_cat,0.0,3.50272682201289,0.0,0.0,0.0,0.0,3.182261003789057,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8850874647164159,0.08167148969582153
276,201850,angry_cat,0.0,7.9719467856552635,0.0,0.0,0.0,0.0,3.182261003789057,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7967697438977599,0.07490413090834074
288,201851,angry_cat,0.0,26.413154850437945,0.0,0.0,0.0,0.0,3.182261003789057,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8984146912351479,0.07135027880562184
300,201852,angry_cat,0.0,25.25639012835344,0.0,0.0,0.0,0.0,3.182261003789057,1,0,0,0,0,0,0,0,0,0,0,0,1,0.661050736879751,0.057399463224319776
312,201901,angry_cat,0.0,2.0065003029802235,0.0,0.0,0.0,0.0,0.45460871482690857,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6521593388049045,0.055507808741861016
324,201902,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7790508652052507,0.05586347717004923
336,201903,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7851110571447883,0.07029905690608262
348,201904,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6637386896651435,0.09398494239965487
360,201905,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6158606270934098,0.07988070143661065
372,201906,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5716617277285072,0.029557454070350753
384,201907,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5467869299287932,0.01155130445097506
396,201908,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5685826249641082,0.012433925797359604
408,201909,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6299248501408163,0.012348502095330182
