draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta1.1,beta1.2,beta1.3,beta1.4,beta1.5,beta1.6,beta1.7,beta1.8,beta1.9,beta1.10,beta1.11,beta1.12,alpha,noise_var
0,213.13313412276557,0.9955526570100399,0.11776663328442276,4.0,15.0,0.0,-210.33130541087013,0.3418448142550894,0.3278786090128539,0.5618951520652462,0.38377080914055045,0.3986642411483841,0.2687399870082643,0.21575216973605366,0.3326113945139147,0.4123611185435036,0.5263221132945635,0.3320847557327912,0.38195086536588124,0.620149898594686,0.014473658468230888
1,217.43617229237714,0.7756634906635389,0.052221017393700386,5.0,47.0,0.0,-210.36320433221752,0.5904015448457022,0.5787830251628359,0.7382590383849522,0.7173028528653774,0.6792206395407612,0.535965720152865,0.5303229884448771,0.6635179158089107,0.5796985291228738,0.8462679073409828,0.5749898072532921,0.6422204144455258,0.3653096542642139,0.018500196465228817
2,217.25446013641152,0.9815492300909224,0.20985579023658457,4.0,15.0,0.0,-207.02819866430747,0.3533800366280074,0.314042619015036,0.5198874711377567,0.4898380349803409,0.43596315976475064,0.23159093934181746,0.26446197993809745,0.41682545786981784,0.40880859790523555,0.5258531184039917,0.3999163838226784,0.4221875488780582,0.5979589860815497,0.014935337700697137
3,217.60528169912504,0.934975499841681,0.09639360725096661,5.0,31.0,0.0,-212.10141466337885,0.4000799060798109,0.5153265216726601,0.7161551520542774,0.6298724277807487,0.6433782269533508,0.38448941253158647,0.4582989388091059,0.5535097483130932,0.5574888292678575,0.6979884455534217,0.5372057505408218,0.5284238906202957,0.4435348771728737,0.01796460657820417
4,212.10943942896353,0.9720621046591791,0.11776663328442276,4.0,15.0,0.0,-207.01155094686615,0.30176541304226506,0.33021239854855955,0.47687018895867983,0.48166935247634396,0.5286714347501035,0.2505029479354849,0.30475185833419866,0.40574768445377407,0.35483508122183055,0.44797697298905426,0.4265783092764078,0.3882127641601237,0.6069192926894884,0.014870871489289759
5,220.64927680767792,0.9896477062284953,0.052221017393700386,5.0,31.0,0.0,-210.57039420966072,0.5770258642415296,0.6153815987925931,0.788200439823251,0.6768341782002365,0.7131106635925775,0.5079456508416651,0.5167909465341198,0.5876186126208258,0.717060917670909,0.7350635356378195,0.7081193266123029,0.667821178432139,0.3557915951718476,0.014675570730090988
6,217.6964830244196,0.9088061458811008,0.20985579023658457,4.0,15.0,0.0,-213.18468478649095,0.35087823052836253,0.32292984034530053,0.534261215777998,0.4955209149572205,0.478194204374634,0.25724409470075016,0.2574997867475482,0.37848081738100137,0.38827748490563463,0.5163750644175459,0.3805097402383982,0.37053936678949045,0.6067680911481292,0.014882240921406236
7,216.8109119565524,0.9750699064846926,0.09639360725096661,5.0,31.0,0.0,-208.71626327350225,0.35613337057249705,0.4339060037633263,0.6708022668585812,0.5642522158848258,0.5270635837078204,0.32263964422620817,0.37835175613169614,0.4993883581159818,0.5098882341901004,0.645109308133473,0.4831913869689473,0.45067290873947213,0.5165619422213997,0.014607638753854214
8,209.95548473893984,0.9928969454384459,0.11776663328442276,4.0,15.0,0.0,-205.6677163798262,0.2779515416032955,0.3329759753543407,0.5929295171598467,0.3772994765389438,0.4333345340776907,0.31558295935783637,0.24933031281643964,0.3755625197307696,0.460762214274219,0.6020903569891483,0.35955387345844797,0.42513396963302275,0.5974908948106358,0.01687295520476961
9,220.36904638817447,0.9838728350598304,0.052221017393700386,5.0,31.0,0.0,-216.41045878136399,0.5966306928956843,0.5648117049118364,0.7721848489837582,0.6932782656493529,0.722603535091375,0.5418920081043708,0.5208334662859879,0.6923360227734275,0.5799084791575397,0.8148041092463144,0.5718764122978555,0.6746756554051986,0.34975861106826983,0.014958639802789003
